Word,Category,Target,,
raw,consonantal_back,Ra,,
rug,consonantal_back,Ra,,
rock,consonantal_back,Ra,,
wrong,consonantal_back,Ra,,
rob,consonantal_back,Ra,,
rose,consonantal_back,Ro,,
robe,consonantal_back,Ro,,
road,consonantal_back,Ro,,
rope,consonantal_back,Ro,,
wrote,consonantal_back,Ro,,
roof,consonantal_back,Ru,,
root,consonantal_back,Ru,,
room,consonantal_back,Ru,,
rune,consonantal_back,Ru,,
rude,consonantal_back,Ru,,
rake,consonantal_front,Re,,
race,consonantal_front,Re,,
red,consonantal_front,Re,,
wreck,consonantal_front,Re,,
raise,consonantal_front,Re,,
read,consonantal_front,Ri,,
ring,consonantal_front,Ri,,
reach,consonantal_front,Ri,,
reef,consonantal_front,Ri,,
rib,consonantal_front,Ri,,
rack,consonantal_front,Rae,,
rang,consonantal_front,Rae,,
ran,consonantal_front,Rae,,
rat,consonantal_front,Rae,,
wrap,consonantal_front,Rae,,
stir,vocalic_all,VS,,
sir,vocalic_all,VS,,
purse,vocalic_all,VS,,
turn,vocalic_all,VS,,
nurse,vocalic_all,VS,,
scarf,vocalic_back,Dar,,
dark,vocalic_back,Dar,,
star,vocalic_back,Dar,,
farm,vocalic_back,Dar,,
barn,vocalic_back,Dar,,
fork,vocalic_back,Dor,,
board,vocalic_back,Dor,,
door,vocalic_back,Dor,,
four,vocalic_back,Dor,,
sword,vocalic_back,Dor,,
share,vocalic_front,Der,,
chair,vocalic_front,Der,,
stare,vocalic_front,Der,,
scare,vocalic_front,Der,,
tear,vocalic_front,Der,,
near,vocalic_front,Dir,,
cheer,vocalic_front,Dir,,
year,vocalic_front,Dir,,
fear,vocalic_front,Dir,,
beard,vocalic_front,Dir,,
