Word,Category,Target,,
raw,consonantal_back,Ra,,
rob,consonantal_back,Ra,,
rug,consonantal_back,Ra,,
rose,consonantal_back,Ro,,
rude,consonantal_back,Ru,,
race,consonantal_front,Re,,
red,consonantal_front,Re,,
raft,consonantal_front,Re,,
reach,consonantal_front,Ri,,
ride,consonantal_front,Ry,,
turn,schwar,VS,,
nurse,schwar,VS,,
worm,schwar,VS,,
ladder,schwar,VU,,
hammer,schwar,VU,,
scarf,vocalic_back,Dar,,
dark,vocalic_back,Dar,,
farm,vocalic_back,Dar,,
fork,vocalic_back,Dor,,
sword,vocalic_back,Dor,,
chair,vocalic_front,Der,,
stare,vocalic_front,Der,,
weird,vocalic_front,Dir,,
clear,vocalic_front,Dir,,
beard,vocalic_front,Dir,,
