Word,C_or_V,Length,Complexity,Backness,Category,Target,
chart,vocalic,1_syll,simple,back,vocalic_back,Dar,Dar
dart,vocalic,1_syll,simple,back,vocalic_back,Dar,Dar
heart,vocalic,1_syll,simple,back,vocalic_back,Dar,Dar
park,vocalic,1_syll,simple,back,vocalic_back,Dar,Dar
smart,vocalic,1_syll,simple,back,vocalic_back,Dar,Dar
bark,vocalic,1_syll,simple,back,vocalic_back,Dar,Dar
poor,vocalic,1_syll,simple,back,vocalic_back,Dor,Dor
score,vocalic,1_syll,simple,back,vocalic_back,Dor,Dor
shore,vocalic,1_syll,simple,back,vocalic_back,Dor,Dor
bored,vocalic,1_syll,simple,back,vocalic_back,Dor,Dor
cord,vocalic,1_syll,simple,back,vocalic_back,Dor,Dor
torn,vocalic,1_syll,simple,back,vocalic_back,Dor,Dor
