Word,C_or_V,Length,Complexity,Backness,Category,Target,
cared,vocalic,1_syll,simple,front,vocalic_front,Der,Der
fair ,vocalic,1_syll,simple,front,vocalic_front,Der,Der
hair,vocalic,1_syll,simple,front,vocalic_front,Der,Der
spare,vocalic,1_syll,simple,front,vocalic_front,Der,Der
dare,vocalic,1_syll,simple,front,vocalic_front,Der,Der
mare,vocalic,1_syll,simple,front,vocalic_front,Der,Der
deer,vocalic,1_syll,simple,front,vocalic_front,Dir,Dir
fear,vocalic,1_syll,simple,front,vocalic_front,Dir,Dir
gear,vocalic,1_syll,simple,front,vocalic_front,Dir,Dir
hear,vocalic,1_syll,simple,front,vocalic_front,Dir,Dir
near,vocalic,1_syll,simple,front,vocalic_front,Dir,Dir
steer,vocalic,1_syll,simple,front,vocalic_front,Dir,Dir
